ruth a. davis,"10.139551639556885,-6.305365481972695,-0.6591214656829834,-8.596326196193695,0.2045222245156765,0.9064555585384368,5.690689307451248,4.556779205799103,5.075638687610626,-12.018166998773813,2.578020840883255,9.610382199287415,11.23034393787384,-5.825980189442634,8.19024200439453,4.426686528325081,9.654795658588409,-1.6369310766458511,6.791909027099609,6.4958501815795895,11.37394775748253,6.291972661018372,-7.024173450469971,-3.232487815618515,0.7345789670944214,0.6597048163414001,-0.9593538045883179,-8.189947694540024,-3.970483350753784,0.5586894616484642,5.935696482658386,-2.8055072732269766,4.544544297456741,6.3242660641670225,0.7167539477348328,1.6636141180992126,11.695779538154602,0.6001266241073608,4.532108640670776,-9.157193851470947,-2.9051545560359955,9.636662876605987,-0.39611560106277466,-3.8772353529930115,5.5339079171419145,-9.063790011405946,-5.848363763093948,-0.7441393136978149,-5.528555154800415,-5.110121087357402,0.7848569959402084,1.1910391688346862,-0.023696774244308473,1.8110026448965073,11.626001906394958,3.502749590575695,-10.015133267641067,0.6156552910804749,-0.9908057689666748,-2.439263033866882,1.5034163892269135,4.137048768997192,2.7542685508728026,5.175884544849396,-3.8741045378148558,0.864300262928009,-0.9778436422348022,0.7370038747787475,6.22161568403244,2.571243691444397,7.474591939151287,-0.10255717337131501,-3.1954902425408362,1.3788152575492858,6.947908091545105,-8.50426396727562,1.4304012894630431,-4.046428143978119,12.050358891487122,3.7410327076911924,1.7856825545430184,-0.42332706451416013,0.6824601888656616,2.8326563119888304,-3.419406461715698,-9.100151222944259,5.1241602301597595,-3.841206353902817,3.734343022108078,-1.4055004835128784,8.273843383789062,-9.484289288520813,10.721196699142457,-1.2843304812908172,4.84385313987732,-4.883257550001145,1.7429006159305573,-1.9800537824630737,1.756429672241211,-5.119835124909878"
patsy fleming,"4.487944185733795,-15.415915966033936,-2.2545390129089355,5.472030371427536,-5.724210619926453,5.994114518165588,6.416067123413086,6.270187616348267,-3.9853957295417786,3.2574362345039845,-0.4783589839935303,18.967540979385376,8.102811634540558,1.3188340067863464,0.2209828495979309,0.44452571868896484,6.5527215003967285,-3.806410014629364,7.0030436515808105,9.204469203948975,9.80181097984314,6.008289635181427,-5.261968284845352,-9.067063331604004,-3.592102289199829,1.6559037268161774,-4.719901651144028,-3.838775634765625,4.290484398603439,7.411787152290344,8.822272181510925,3.0116601288318634,3.855206571519375,10.518119812011719,4.520113945007324,3.044883280992508,14.651085771620274,-1.8726708814501762,10.499743521213531,-3.447711382061243,-8.780548065900803,1.6262867450714111,-4.361555278301239,-7.242572456598282,15.046801328659058,5.0494232177734375,2.6277606785297394,0.315821148455143,-8.165771320462227,3.110625147819519,-7.164330244064331,8.635343700647354,-0.8947858363389969,2.692200779914856,19.05533528327942,3.0136128664016724,6.8474045395851135,-1.1653397679328918,3.796284794807434,-4.26863619685173,4.024664640426636,4.641603946685791,7.028775200247765,11.014721155166626,17.904412508010864,-16.27065122127533,-2.398512899875641,3.3058758974075317,-0.04114972800016403,4.107343167066574,9.177831292152405,-8.755326986312866,-0.8609216213226318,1.7623015344142914,7.782314658164978,3.2865611016750336,11.20089316368103,3.4668188095092773,13.01912534236908,-1.319578856229782,-12.99112606048584,-8.81193483620882,1.3847588896751404,-7.055304527282715,0.7033088505268097,-1.653725266456604,13.727179765701294,-7.684463858604431,-7.417233765125275,1.0758093893527985,1.8840193506330252,-8.6553515791893,14.17958664894104,5.279336288571358,-4.171357154846191,-10.278854191303253,11.415251359343529,0.8761172294616699,1.9336609542369843,-4.989101231098175"
herbert i. london,"7.635718425114949,-6.867046197255452,-9.854599475860596,0.058155337969462075,-11.871184761325518,8.128568589687347,5.136857520788908,-1.8545385599136353,-0.9381026824315389,-10.568045934041342,7.892456879218419,9.349015891551971,-3.4119365215301514,4.062828560670217,-8.659338002403578,5.447541534900665,10.361633956432343,3.20823181172212,-1.4690235753854115,-4.997968991597493,6.132432150344054,5.459589560826619,2.950240691502889,-1.2576483289400737,-0.5781171520551046,4.561593155066173,7.489695779979229,-6.881775975227356,4.2679330706596375,-8.115384380022684,-0.051055312156677246,8.030089934666952,1.928849846124649,-0.061019966999689736,0.059100762009620667,5.560423672199249,6.104029297828674,2.485313435395559,11.932950973510742,4.91333285967509,1.8241113026936848,6.746836046377818,0.2973385850588481,2.304843306541443,10.119836270809174,-1.003891150156657,-2.5226939916610718,9.530250560492277,-1.923463523387909,-5.022188048188885,-8.262738769253096,0.88625368475914,3.8577229976654053,3.8621153434117637,10.252900004386902,4.559065183003743,-8.88554310798645,-3.112215089301268,3.7821987768014274,1.9340318441390991,-1.7136023839314778,4.622140169143677,-0.3573320309321086,10.334291100502014,3.2426817417144775,-1.5270841519037883,0.35864872733751935,6.5044673308730125,1.61795308192571,-0.703743596871694,10.010442276795706,-5.567982246478398,-2.9937015970547995,3.6425810686002174,10.393503983815512,-2.351728359858195,3.1525883277257285,-5.012733901540439,-5.381532271703084,5.484452923138936,-8.876316666603088,9.048908044894537,8.334789375464121,1.7915865580240886,-2.1479332447052,-11.008873025576273,-1.849278489748637,3.6777875423431396,-4.275461753209432,6.770784030357997,-0.3178417682647705,-6.44541581471761,13.639966567357382,4.29429308573405,3.0495309432347617,-6.055050214131673,6.288418610890706,0.7541213283936182,-1.1859354575475056,0.28595221042633057"
jill biden,"0.8085568264911049,-2.579559365385457,0.7517619119270852,4.094270328942098,-2.458189184728422,-0.5168711384268183,3.3596362781367803,2.237230507951034,-5.337723496713136,-1.7457415308607251,1.1381963867890208,7.537365743988438,1.1992874592542648,4.970123118475864,-1.335476163186525,3.2873647091420075,2.4734023766298043,-0.4802585432403966,3.19896189790023,2.115588421884336,5.773214980175621,0.7262021432581701,2.6980665247691307,-6.654703748853583,-0.9178991584401381,6.516993533623846,-2.5474142949832115,-0.9789397214588366,-2.043827541956776,-0.007784167402669003,3.2260299926917804,-6.977044293754979,-1.9544108941366798,5.237211362311714,-1.993130587041378,-2.3799780771920553,9.683643971618853,1.6830734069410123,4.111646958871892,-0.9733114913105965,-1.4068655693217327,-1.32961611214437,-7.062348514795303,-9.79677566729094,2.4508408551153384,-3.6406840266365754,-1.10991370677948,0.007524725049734116,-7.550958954189953,1.304460075144705,-5.952512891669023,0.9027547722584323,2.5228073616561137,4.152699028975086,14.367243550325695,1.6121314199347245,-2.4065655564007007,2.1903367324879297,2.59968890641865,-5.706801067057409,-1.1769388898422843,3.99310843960235,1.0636114036958468,-0.4994314783497861,4.787531132760801,-1.8088994711931599,-1.9863396698707028,-1.9809825522334952,-0.16807101431645846,1.0038542488687916,1.6329195405307568,-0.683356280389585,-0.48522648215293884,-2.9544433653354645,8.226796104719764,-3.469181484689838,4.488224271880953,-5.08742473313683,6.9613941633387615,0.3358841873705387,0.5522486371429343,4.582692749798298,0.3872043431589478,0.8697394571806255,-6.687451740628795,-4.540914482976261,1.991029690755041,-0.758501903006905,2.5141944300971533,1.5168556327882565,0.9453219363563939,-5.690948520836077,8.545304043512596,-0.5719783337492692,2.0058568494492457,2.005074624952517,-1.4688294851466228,-2.9935563758603836,-2.9307398309833124,-0.8950409575512535"
jean-bertrand aristide,"2.151650614598218,-11.494331486084882,1.974042065003339,8.126677590257982,0.35478216847952676,9.058293847476735,5.280715279719409,0.8463944424601162,-7.370205402374268,-9.162720017573413,3.6490737830891327,13.79103410243988,1.6162579515401054,12.677268175517812,-6.04614321975147,0.5720113270422992,4.96575348517474,9.636138395351523,5.812410263454213,-1.056646656464128,11.091995705576505,7.232419617035809,1.997775360065348,-7.417766907635857,2.915077700334437,10.314285495701958,3.8037170794080284,-8.170799521838918,-1.482279475997476,0.4977798260310117,8.614628395613503,-6.6545529716155105,0.18118449519662297,7.862999642596526,2.9207261905950657,-7.715985157910516,7.582893574939055,-4.937927249599905,9.1067837581915,4.723873580203337,2.818079780129825,5.288940787315369,-3.335960062111125,-8.575581894201392,7.126260561101577,6.239525553058176,-1.00714150947683,14.481312211822061,-14.087552459800945,-0.1458357984528822,-7.268932977143456,-0.8725680218023413,-8.33272946582121,5.469690682695193,25.78062617077547,2.8899996035239277,4.189393590478336,6.929103241247289,6.545775799190297,-10.311646352795993,-9.008791793795194,12.215179829036488,-0.7123682919670554,-2.4234777338364544,9.239240341107635,-7.994021179044948,4.165546010522282,3.504185743191663,4.646442266071544,3.8405574875719406,3.1368725448846817,-0.15134764418882482,-3.4092063903808594,-0.7607949866968042,8.635102910154005,-6.145164854386273,11.098640282364453,-6.067107986001408,9.372457662049461,5.093694305595229,6.606549201642766,10.195243835449219,8.409732327741736,0.2294968892546261,-11.318441222695743,-11.095174375702353,-3.9707292804823204,1.2339062690734863,-1.445998069118051,5.512181527474347,5.473040775341146,-8.329146993510863,15.666507391368642,4.786670221125378,8.454766806434183,3.5325026512145996,7.483322522219489,0.38489067905089436,-0.5502709991791669,2.1459898633115433"
george allen,"3.6849549215647484,-4.6119043360794745,1.1309520140770943,2.503231612665038,0.8725506650103677,3.634951999050475,1.6768164077112753,-0.6603241352544676,-3.5576845868941276,-4.796575942347126,3.1901252534120315,10.019087039655254,4.64072145749965,2.7159009501338005,2.729187444092766,3.6773843195049034,1.8549108221646278,-0.5706577224116172,4.52199868208939,1.2944062688658315,7.082355769891893,3.9458832214436224,-1.538302623216183,-7.2506598652370515,0.9592981256784932,4.538327167711912,-2.126765235777824,-2.512599108680602,-2.622587369334313,-0.8577720570948816,2.8889680192355187,-1.2715950000189966,0.21624962552901236,2.6760513756063675,-1.6955099754756497,-2.124302645123774,10.63377442283015,-0.8909573417998129,4.971848024716301,-1.0953620256435486,-2.4667221913414616,0.9861387418162438,-2.9304495400959447,-4.4667785278251095,8.16797810816957,-0.06176741060710723,-4.8169610461881085,2.0491347038938152,-4.722421870596947,-1.2416232627245687,-2.63559060435622,0.25792310939681146,-0.36153168928238655,1.561336634139861,17.70414126976844,1.2976533498975538,-2.0235562511990146,-0.005256624351586065,4.584083829675952,-4.811507537239982,-1.8984856797802834,6.486231631328983,1.3541873460335117,-0.06989493100873885,6.668547491873464,-7.736262850223049,0.25699334880036695,0.04375413252461341,1.1437486506277514,2.2909108402748264,5.297197693538282,-4.7517553209777805,-3.549968106491912,0.30781382430464993,6.936418892875794,-3.9205925959733223,7.78739846281467,-4.171873016703513,7.500653486098012,3.2114256413112723,-2.8565783668910303,3.6305096538196646,2.060716650208398,1.193585178664615,-3.752311499969613,-6.316385140342097,-0.8134405468740771,-3.7560288358119225,1.9974668503047959,1.0507672886934973,3.9200034958700978,-5.772318761675589,11.66764242850965,1.2776145810081112,1.546108275531761,-1.7316319317586961,3.159886656749633,-0.437893139859361,-0.608934253934891,-1.065185030982379"
robert malley,"7.543363978733888,-4.209817161431184,-0.37280505613700765,-0.5703122063061675,-1.7128594002208195,6.304169966562374,3.1460296048505887,-1.071336287098962,-2.4278216200905876,-4.476519430005872,4.305490727360184,8.696032308243417,2.131369700302949,-0.6112170767139744,2.3578043805586324,1.6917284284089062,5.820026378776576,1.116375273949391,5.752739361411816,1.3771809556999721,8.100780149569383,7.023760425077902,-1.172985492525874,-9.17268476413714,2.790097395310531,5.8724246689596695,0.6488000814979141,-5.944887953030096,-2.268592530005687,-3.6047501773447603,1.9517872190556012,-0.3392011321879722,3.3132737657508335,3.5539543348792435,1.5656299897142358,1.4780258818252667,9.36410531482181,1.4435519302213513,7.052112669558139,-1.5074504251415666,-4.386565098891387,5.032678716488786,-3.8232767839689514,-1.8643840019767348,7.423717882987615,-0.02330948452691774,-5.021062408750121,0.351932032889611,-3.7319165146028674,-1.1631426694425377,-3.3507792530833065,1.1887498433525499,1.4555370159245826,-0.8190299868583679,17.677398334483843,-0.6442916916834341,-3.189038425683975,1.6534086298700925,5.869032096218419,-5.7852780279275535,1.0430504357492603,8.026366923306439,1.936275064945221,1.253663733198836,4.622498103090234,-6.4701029376403705,1.321823565541087,4.202752636997281,2.603667149269903,3.719908938214586,7.348169975989574,-2.310865264486622,-6.373995175232759,0.741849760650783,5.031236081509976,-9.251949560400602,9.56904128274402,-5.872859931475407,1.1114235238448993,4.7409653397830755,-1.0702438217562598,2.652047389262431,1.2985428700575958,-0.5734223433443018,-3.446465542187562,-8.107784975219417,1.236132814674764,-0.9588269687987663,-2.517678537884274,2.5840286586332963,2.157180102290334,-6.006701872155473,13.020223669103673,0.42877036171990474,-0.46840191511689006,-4.9589697906898484,3.371857804221076,-0.046680461716007544,-1.9956676186742008,-4.534006577438197"
gil kerlikowske,"3.165361025929451,0.38055859208106996,-8.111235809326171,1.9788512319326401,-0.9024007797241211,6.614136666804552,8.30424439907074,6.165248847007751,3.3090193271636963,-4.672076770663262,1.6560047179460526,14.797134965658188,0.5811954259872436,6.017401164770126,-0.1513978958129883,5.908704090118408,10.663123893737794,3.206499934196472,6.8159123182296755,4.3985803663730625,11.21461000442505,8.044510298967362,3.664628344774246,-5.059615588188171,-1.3571164667606355,3.814441329240799,-3.7868515133857725,-10.501038610935211,6.22378479540348,-0.6755938410758973,1.434563685208559,4.243427467346192,2.4164556235075,5.5502533435821535,-3.773565113544464,10.201079177856446,11.647626852989196,4.288313949108124,9.424986734613777,-1.7567736625671386,4.028996539115906,2.0349393606185915,1.2055359482765198,-1.0362011313438415,2.4411722868680954,-4.829331660270691,-5.462119722366333,2.1352766029536725,-2.7501731395721434,-8.9375789642334,-5.443694424629212,3.886320722103119,-0.572599071264267,4.915370706468821,21.78132028579712,6.801085352897644,-2.1601176232099535,-3.05922012925148,6.849677473306656,-5.401756823062897,-0.4555353820323944,8.937585425376891,6.784632045030594,3.9204486489295958,3.784878596663475,-1.4595640450716019,-0.14849189817905425,0.7452982008457184,4.479790067672729,-1.026704239845276,7.621855795383453,-4.611652118712664,-8.632143500447274,0.4566043496131897,7.195849990844726,-8.345296955108642,9.45841775238514,-3.1011548757553102,7.125682924687863,1.061662957072258,-2.759512040019035,-1.3308130975812673,-0.6619751155376434,-5.238210332393646,0.14000415802001953,-7.365205252170563,1.491650938987732,-9.985317218303681,-3.4633484542369843,3.5471750259399415,5.426484614610672,-3.924807623028755,18.125347590446474,-4.126697278022766,1.070082426071167,-4.125767083466053,0.6989913389086724,-2.007676351070404,1.599515563249588,-3.3738736629486086"
david trimble,"0.056154091249812736,-3.1731093502180143,-1.4303033541549335,1.9666397138075395,0.7807168608362024,4.347162537954071,1.106031980026852,1.6238492632454091,1.7735266089439392,-5.560076876120134,6.140828520059586,10.994219132445075,6.069228002293543,4.245944558558139,1.9296374036507173,3.2955032912167637,2.3374498926780443,-0.011759701438925484,3.5777143077416853,0.47003782201897015,10.867598595944317,7.019541012969884,1.7048507576639003,-9.139245137572289,3.2573610083623366,1.9753705696626143,0.004671687429601496,-10.14888196438551,-0.9330729679627852,-1.003428797830235,8.170761531049555,-1.0323119163513184,3.8875667862594128,5.398920579390093,-1.7212029763243415,-0.2861715148795735,12.201649752530185,-1.910115052353252,3.26084058934992,1.6817877184260974,3.505115173079751,6.3253173828125,-1.30278127301823,1.1988941505551338,7.667109634388577,-0.0008589943701570684,-9.21203202009201,5.998572894795374,-6.694958854805339,-0.5618333328853954,-6.173912533304908,1.678401113233783,-2.9047654569149017,3.486604070121592,20.639032168821856,0.5962466570464048,-2.440512481060895,1.549979154528542,3.8072414940053765,-4.906044824556871,-2.3417130576615985,11.18606733192097,3.7289975488727745,1.3984951322728938,4.6230448646978894,-10.025707537477667,3.3458726744760168,4.489678257398984,1.077008537270806,4.103262795643373,8.976303891702132,-1.6583308252421292,-8.764123526486484,5.290954652157697,4.049775711514733,-7.07858564636924,6.842114703221754,-7.496613215316426,9.719677334820682,6.062151309441436,0.5702191957018592,6.670813247561455,6.002999949861657,1.5903709503737362,-5.725345752455971,-10.432525924660943,-6.441369780085304,-1.450118070298975,3.1155140535397963,3.795751628550616,5.143994303928181,-8.145470559597015,19.053813934326172,1.5076406726782972,5.7986401441422375,-1.2206524339589206,3.8942847062240946,-1.6687523946166039,0.6435052020983263,-1.1512863744388928"
john f. davis,"11.17067992091179,-6.524529123306275,10.652954840660096,8.368699550628662,0.5462436676025391,3.128977417945862,3.233205223083496,-5.557791543006897,-15.1848934173584,-8.712085139751434,9.624967575073242,13.957782363891601,0.6897697687149048,10.86457164287567,-4.913047647476196,7.554590916633606,-0.6855558425188064,8.27445101737976,-4.110644674301147,0.7416354417800903,4.00351996421814,0.5173855304718018,2.1702320158481596,-3.7792102336883544,14.204792594909668,-2.303069543838501,-3.497344446182251,-10.246673440933227,-7.4215398788452145,-7.987025308609009,13.27523648738861,-4.370693635940552,-5.965448904037475,-2.5505991220474242,2.951457405090332,-10.608531618118286,21.13933410644531,-5.245734441280365,8.63814046382904,4.5775381565094,9.59624080657959,-5.30116857290268,-7.406144762039185,-9.857442474365234,4.926341438293457,7.31117103099823,-12.39643907546997,11.158988118171692,-5.325106000900268,1.3978482246398927,-11.543591976165771,-4.996338653564453,3.5659740447998045,6.483365750312805,30.656040573120116,0.0927839994430542,-5.370099639892578,4.849913311004639,10.143524074554444,-3.0293778449296953,-1.4149362325668335,9.671406841278076,-3.911423960328102,-6.83754255771637,0.7965511023998261,-4.445449697971344,6.789958071708679,-1.347132784128189,2.9894419431686403,3.90596718788147,10.635255420207978,-3.4161876678466796,-18.218360900878906,2.1199596643447878,13.260783481597901,-6.1918943405151365,5.925024604797363,-15.200260734558105,9.579718208312988,10.26864950656891,3.9834152936935423,15.118947958946228,12.27552318572998,4.583803701400757,-11.949704837799072,-16.442996788024903,-6.691862320899963,1.8698038339614869,0.3129712104797363,2.49095299243927,4.525781154632568,-14.362307453155518,18.86857089996338,8.692354440689087,7.820206618309021,7.900190258026123,0.5955724239349365,0.9597702980041504,-9.681570434570313,7.719337218999863"
mike mccurry,"3.8370317013913326,-3.1160053167115436,-2.2653690352198783,3.2772092363807594,-1.7463271206014612,2.3822326645924803,4.7745044628221,0.9621895611118735,0.23562971824842893,-4.1944621737753405,5.583603491609016,8.558087471495853,5.39227453108584,0.28980439131179553,4.8462775630897355,2.3196739350979247,4.545726146255986,1.9698834472827698,7.246434796727105,3.811191314726733,7.850835805696048,5.2965464357579695,-2.226120438384876,-5.618219223794307,0.5733687351928668,4.697202133914728,-0.4248464656679818,-0.7909053055088172,-0.329638238703267,0.38628793516185844,4.911288991633259,0.0700169973745105,1.8214023022839192,4.214869030908252,-0.011953704393981548,2.521760118602032,8.517025315192308,-1.1803014392263433,6.07393326710784,-2.3718867538015496,-1.7528350997004616,2.536071245422524,-2.167683891952038,-4.207879225943196,6.865951222817549,-1.0662722808591436,-2.019703680377328,3.972652369921797,-3.90356272103244,-1.644862135809459,-2.9053894586944846,0.5234027032771807,-0.2493885052338075,0.06209177147136646,14.272346792930968,2.842360012149543,-0.9445503270358182,1.8412891099794526,2.8968175625365773,-3.5922542976194554,-2.435381658793835,7.297356473847052,4.6356787735156795,0.3608998087852189,7.120718707445632,-4.26431102145547,-1.5530676923775941,0.6519779832510466,-0.16266222850660259,0.784908400995008,2.155243609728438,-3.3000159230125083,-2.9206366935807666,-1.1622868304172258,6.264329287694411,-4.916129220067785,2.6092315085148545,-5.003352254963993,2.6718374850709785,3.661980319265904,-2.2429051914911593,-0.5255013857497258,4.006111915526765,-0.3031595690866535,-4.43958809829495,-8.308310690890536,1.7068535523133332,-3.6701123501812476,-1.8968291600768485,-0.5796586158737708,3.9562769502903636,-5.247557547654998,9.248277087225004,-0.7410754410633713,-0.3230063563652253,-3.6808492942305095,-0.16407984043105264,-2.5814925502525288,-1.6622332642587383,-4.485523696905107"
ioannis pesmazoglou,"-6.718110799789429,-6.304821252822876,-3.404315173625946,-3.5129859924316404,2.5889344096183775,-1.3484298944473267,3.4494337916374205,-1.8366886377334595,3.5653255939483643,-3.127275264263153,-2.421105432510376,13.76034880876541,11.219121360778809,8.924938488006593,8.59886121749878,2.102734738588333,18.342000350356102,-0.12234220504760743,7.298555183410644,0.577547836303711,12.402891254425048,21.631822395324708,-4.56875194311142,-4.694636178016663,1.89402893781662,10.385134363174439,-8.242752027511596,-5.7765082269907,-0.0016915321350097657,4.873682963848114,-0.06718916893005371,-3.096022367477417,6.100062704086303,8.87935779094696,-8.518027305603027,3.9652277886867524,8.918675474822521,7.051783466339112,7.1762104511260985,-4.943644714355469,-5.094368577003479,2.860143709182739,-2.3751103401184084,-5.603018689155578,7.076219797134399,-3.9566635131835937,-4.842326092720032,-3.8501036167144775,-19.71754183769226,-1.264652180671692,-4.292546272277832,8.641403293609619,-0.5068492293357849,7.291364479064941,24.633368301391602,9.954367804527283,3.545210298895836,2.518537300825119,7.844202947616577,-5.400128269195557,12.007966542243958,5.684897232055664,11.44914631843567,14.902077865600585,6.699649333953857,-5.273568439483642,-6.441940784454346,-7.759601879119873,-2.4604813158512115,8.69160499572754,10.67836229801178,2.216979813575745,-7.3470155715942385,2.575837802886963,1.9251331329345702,-13.128099489212037,10.3144136428833,-2.342577409744263,5.3300183653831485,2.0351954460144044,-5.532603350281716,-0.971702241897583,4.188613224029541,5.730257606506347,-4.546587610244751,-4.632736182212829,7.204732847213745,-6.296886783838272,-0.9209980010986328,0.357758617401123,1.8159064292907714,-4.792103397846222,17.09295735359192,-4.101290369033814,-0.0116860032081604,-12.236962890625,-0.21854376792907715,-4.2935998916625975,6.539218235015869,-9.592011737823487"
