ruth a. davis,"10.821514977349175,-6.500385768711567,-1.547131061553955,-9.12114131450653,0.2386752168337504,-0.9109632505310906,5.233595881197187,5.160580277442932,6.069573587841457,-11.734850967095959,1.3797462847497728,8.949725257025825,11.086461861928305,-6.6438040633996325,8.89080646302965,4.660380631685257,9.152843077977499,-1.641271750132243,6.516995535956489,8.377806822458902,11.271021041605207,5.9998109340667725,-6.120032681359185,-2.2051152057117887,0.2259892357720269,-1.060266031159295,-0.4778279993269179,-7.708818111154768,-4.781232780880398,0.16783000197675493,7.410888963275486,-2.455205135875278,5.264267067114512,5.726109835836622,1.796188023355272,1.1142861578199599,10.767545620600382,-0.6427048494418462,4.469093693627252,-8.975968572828505,-1.9666258957650926,9.95178254445394,0.5890968508190579,-4.296254250738356,5.666174600521724,-9.957568566004435,-6.905128584967719,-1.7122612529330783,-5.611616823408339,-5.782961577177048,1.084040148390664,0.2786235676871406,-0.5761140518718295,2.8294397559430866,11.989854998058743,3.8339852492014566,-9.137286007404327,1.282671676741706,-3.404450151655409,-1.6955236064063177,1.2963690691524081,2.9502355787489147,2.3927518129348755,5.913418173789978,-4.194879547589355,1.5334804190529718,-0.9504041539298164,1.0984373887379963,6.65435336695777,1.5384039084116619,7.346691971023877,-0.4458239773909251,-3.2409837262498007,1.307014611032274,7.999719169404772,-8.928003324402702,0.994011229938931,-4.801858014530605,12.491568485895792,3.736154662238227,1.9614195509089365,-0.03961351182725695,1.964136626985338,4.63463732931349,-3.350557141833835,-9.97229156229231,5.693448265393575,-4.8747808072302075,4.204483985900879,-0.7071984873877631,7.436746795972188,-9.315043290456137,9.866074270672268,-0.6039556927151151,5.434294488694933,-4.7969897919230995,0.36010633574591744,-1.5917751259273953,1.5906752480400934,-5.585235600670178"
patsy fleming,"6.4608612060546875,-14.27381420135498,-1.3228507041931152,9.0772705078125,-7.901554107666016,2.3261706829071045,2.626783847808838,8.52257251739502,0.8254890441894531,7.309074759483337,-4.591157615184784,20.891374588012695,4.654856622219086,2.1022543907165527,-0.8800466656684875,3.600986957550049,-1.409531593322754,-4.518337965011597,8.189340829849243,18.214509963989258,8.512075424194336,6.748533248901367,-4.050686597824097,-9.287129878997803,-1.2019479274749756,1.992521047592163,-1.3491520881652832,-1.2471849918365479,0.8909578323364258,9.419941425323486,13.231945037841797,1.5842587351799011,10.246877670288086,11.124637126922607,1.3696537017822266,4.178052008152008,9.963234260678291,-1.9046435356140137,14.200103759765625,-2.952416867017746,-5.453956782817841,1.1579034328460693,-5.910966277122498,-10.252636551856995,19.434415340423584,7.058033227920532,5.0112950801849365,4.563184142112732,-6.661151558160782,7.194027900695801,-12.80118703842163,6.510389924049377,1.5838594436645508,4.075688362121582,23.617334365844727,6.5346269607543945,5.793390393257141,-1.023064374923706,2.1142852306365967,-4.962390184402466,4.502373486757278,1.8598949909210205,8.256115198135376,17.523849487304688,21.44442081451416,-16.869086980819702,0.08142280578613281,5.800799369812012,4.843624129891396,3.2374186515808105,9.697525262832642,-8.344663619995117,5.792051315307617,0.7067952156066895,11.26521635055542,9.928961992263794,11.902865886688232,4.670556426048279,14.83854341506958,-2.3393986225128174,-15.415691375732422,-8.816702365875244,-0.6975014209747314,-4.6833213567733765,-1.2595512866973877,-4.746664047241211,14.981162071228027,-5.748693108558655,-4.6553038358688354,-1.5237986594438553,1.9589886665344238,-9.866873264312744,11.8143892288208,7.419938713312149,-5.907672166824341,-11.840324401855469,13.494699001312256,5.214618682861328,-1.5639863014221191,-11.485310316085815"
herbert i. london,"11.947199821472168,-10.03192170461019,-7.029615084330241,-2.3235504627227783,-18.863717397054035,11.132505098978678,7.569213072458903,-6.152489185333252,-6.43838357925415,-10.119144280751547,4.929941892623901,11.087193489074707,-2.5311034520467124,1.9737964073816936,-11.365598996480307,9.729405244191488,10.02715794245402,1.7792452176411946,-0.13838942845662436,-2.6374075214068093,-3.641552433371544,8.962888876597086,1.9020868986845016,3.838847557703654,3.9655444622039795,0.6541466315587362,8.712509950002035,-6.938309113184611,2.747880498568217,-13.429831504821777,-3.970296621322632,8.06750758488973,-6.170047044754028,-2.8820861180623374,-0.46669284502665204,-0.14517919222513834,6.214465856552124,3.492960532506307,8.526076634724935,2.5532708168029785,1.718908389409383,5.002753933270772,1.6164146661758423,0.530540943145752,5.765612641970317,1.2403465906778972,-2.737698237101237,7.113537152608235,-1.6848163604736328,-3.280031563093265,-11.81357510884603,1.2320714195569356,11.470664699872335,6.470190366109212,13.875748634338379,6.434181849161784,-12.802400410175323,-5.877017577489217,1.543417473634084,-1.2974865436553955,2.8255173365275064,5.863505522410075,-4.481235822041829,7.41097887357076,-1.407204548517863,2.106254975001017,3.2042484283447266,11.494917074839273,3.2799915075302124,-0.34546931584676105,15.130517959594727,-4.920633157094319,-9.209153413772583,4.894348273674647,13.060953458150228,-7.5567851066589355,2.3821988105773926,-7.512827555338542,-6.091634511947632,11.304688453674316,-10.35047197341919,15.295607566833496,10.502828439076742,1.8779529730478923,-3.464184602101644,-15.012613296508789,-5.172613064448039,10.423887809117636,-2.200714349746704,8.297152976195017,0.7930929660797119,-14.750385920206705,16.516982714335125,9.896833817164103,2.722182114919027,-2.169586976369222,8.819097201029459,-2.409065008163452,-4.436808009942372,1.1020118395487468"
jill biden,"1.3134208393819404,-2.3458413337216233,0.36643453642274393,4.3838935395081835,-3.0342267191771306,-1.199781227969762,3.617888448364807,2.2323845661047734,-5.8672800172459,-1.0975371405030743,0.3704708886869026,7.7083008578329375,0.6700446253473108,4.101617896195614,-2.5953520942818034,3.111423210664229,2.586608326344779,-0.5465790385549719,3.351544575257735,2.6691941131245005,5.268632068326979,0.7011520578102632,4.152375004508278,-6.304251519116488,-0.6010171662677418,6.021237671375275,-2.207674219752803,-1.100123040603869,-2.223044194506876,0.11382592040480989,3.298964809061903,-6.979238690751972,-2.101560447252158,5.008253216743469,-1.9447205396312657,-2.3139453629652658,10.443554614529464,2.3950656498923446,4.6808467012914745,-1.5790234980258075,-0.23041030945199908,-1.4869963617035837,-6.995695025631876,-9.633501143166512,1.9531021976109706,-3.4643195822383417,-1.6469506097562385,0.09874414020415509,-7.263461565429514,1.8959973054853352,-7.055299957593282,0.45287592076894007,2.5614410534952627,4.58273091189789,14.812921061660305,1.5944752955075465,-1.662599458838954,2.3429051980827795,1.962117780338634,-5.8149248515114635,-1.0307413068684665,3.593883631807385,0.8060414897221507,-0.6019359727700552,4.935483172084346,-1.4291529216888277,-1.504065788153446,-1.7668557898564772,-0.3542517405567747,0.18747543475844644,1.7615683259386006,-0.5630174821073358,-0.3654683738043814,-2.5216660129301474,7.8767361550620105,-3.5199880843812767,4.729613149707967,-5.894085584264813,7.21336024367448,0.2999443466013128,0.31636484373699536,5.580325742111062,0.7240085145740798,0.44677081975069916,-6.841189059344205,-5.329146906281963,1.8618191119396326,0.495534315253749,3.0768057988448576,1.2670645767992192,1.4077012900150183,-5.277244076584324,8.904032697280249,-0.6730582397995573,2.444411375080094,3.256744917595025,-1.4694919509418083,-2.7052980209841873,-3.636433628472415,-0.4422936367266106"
jean-bertrand aristide,"3.8049885034561157,-12.754222536087036,2.2596412658691407,10.509093248844147,0.32019431293010714,9.437473487854003,6.589272403717041,-1.8930447340011596,-7.9471534252166744,-9.22457571029663,4.593204116821289,17.262325382232667,1.1588656306266785,14.713010776042939,-6.442886132001877,2.6255685925483703,3.4488157987594605,9.95964946448803,8.438946107029915,2.0114266738295554,10.003189259767533,9.470083618164063,3.6560268878936766,-9.172650456428528,4.9839049816131595,9.075668787956237,5.0897754147648815,-10.292124271392822,-3.756741428375244,1.1910337388515473,7.404955005645752,-6.946741926670074,1.2797595024108888,6.9032006621360775,2.5718259513378143,-10.867517232894897,5.92083226442337,-3.3689310371875765,9.161785870790482,4.122684049606323,6.255404591560364,6.061005568504333,-3.6207760155200956,-9.978006660938263,6.903006100654602,8.791362453997134,-4.717919278144836,16.130065536499025,-15.258043003082275,-0.6692105419933796,-9.529490679502487,-2.6006167411804197,-8.015658593177795,7.521219462156296,26.850831031799316,4.499000006914139,2.5030597686767577,3.8582796335220335,5.530742883682251,-8.556791692972183,-7.566024655103684,11.248793399333954,-2.3495029628276827,-3.411073648929596,6.0091981705278155,-6.511207473278046,5.748181760311127,3.9712395906448363,6.77792991399765,5.065123271942139,5.523355102539062,0.0015861034393310548,-4.866650140285492,1.1645061910152434,9.736591041088104,-8.651382088661194,11.043821588158607,-8.178727626800537,10.929980063438416,6.0341414451599125,8.278873041272163,10.856466889381409,11.699061560630799,-0.0187761127948761,-10.18529167175293,-13.843770217895507,-4.508007657527924,-0.43861111998558044,2.3248398065567017,5.872670882381499,4.989946782588959,-10.32106896340847,19.185228633880616,5.671333591639995,8.436727857589721,4.181440591812134,5.4936682939529415,-0.7002447247505188,-1.1690428018569947,4.238946908712387"
george allen,"4.4805402372564584,-5.495697075767176,1.0991957008040376,0.6976246934916291,0.6242887803486415,2.438428776870881,1.666359773703984,-0.31133924584303585,-2.9622482700007304,-4.640902629920414,4.085520927395139,9.217998555728368,4.835323688973274,3.1812851689755917,1.8150895147451334,2.6834908174350858,2.0914754612105235,-1.3953385757548469,6.5814396398408075,2.8602630347013474,7.642515138856003,4.413931450673512,-2.1615532391837666,-8.106471243713584,1.3578535211937768,5.424526834062168,-1.2272082641720772,-1.5730553780283247,-2.358119398355484,0.8670905157923698,0.9798096311943871,-2.0955693189586913,0.8668655530948725,3.8936575427651405,-2.8913771765572682,-2.8845809368150577,12.309855661221913,-0.38901968938963755,4.385381479348455,-1.4203751598085677,-1.595572574862412,1.608228983623641,-1.9862585120967455,-3.591477489897183,7.287776915090425,0.6398254412093333,-3.7465397055659975,1.6400540449789591,-6.817968279123306,0.7780992814472744,-1.8041220275419099,-0.06662488728761673,-1.2761766974415099,2.0674756935664584,19.0809388927051,1.3366962330681937,-0.9117185090269361,-0.43406003394297193,6.304111872400556,-6.138595879077911,-3.1319506061928615,6.351835963981492,1.1615046837500163,0.5545485647661346,5.632132181099483,-9.855953612497874,0.5178328002137798,0.9196621190224376,-0.14634949820382254,1.781495027244091,4.109753489494324,-5.385268300239529,-0.5156481180872236,0.9141265325514334,6.735609208100608,-4.00292957680566,8.14584704382079,-2.7253042800085887,9.277330204844475,2.2105952968288745,-4.085421742073128,3.6985638460942676,1.4160712319426239,0.4527108647993633,-3.54507418934788,-6.368824874716146,-2.096820060695921,-4.922394743987492,3.14304923585483,-1.3810616412333079,3.713293935571398,-5.556661659053394,12.40291577577591,-0.6801803175892148,0.8400753723191363,-2.6472404854638234,2.803705247385161,0.09233459989939417,0.1183886496084077,-0.5838116883699384"
robert malley,"9.630452586544884,-4.601972308423784,-0.2605285520354907,-0.9097255890568098,-6.15374552541309,5.8642661604616375,6.259608401192559,-1.1191087712844212,-5.881572648882866,-4.790471006598738,4.341160333818859,8.095319231351217,-2.127555165025923,-2.1832883689138622,-1.1603752722342808,3.4522545999950833,6.41832476357619,0.9986231525739034,8.098816721803612,2.056681402855449,7.548930515845616,6.9886222158869105,0.9914588001039293,-10.735056382500463,4.465066923035516,5.692370976010959,0.909915437301,-5.581337345971002,-2.212380588054657,-5.057495650317934,1.3111085361904569,1.0772710243860881,4.638117672668563,4.954082914938529,2.4835929191774793,1.4336046758625243,9.154985070228577,-0.16657247808244494,8.643692904048496,-3.1707359618610806,-3.710343751642439,5.029879997173945,-3.5913638869921365,1.1970416737927332,8.121124401688576,2.800402435991499,-5.876619348923366,0.913709107786417,-1.4325734906726413,-4.224690480778615,-4.624923268953959,-1.415093547768063,1.9934504959318373,-1.3369715673228104,18.222662828034824,-0.7684544656011794,-2.60246360136403,-0.02255593240261078,4.718822023520867,-6.5322470019261045,1.6313958631621466,9.299325558874342,0.5693843563397726,1.7480006251070235,3.401749920513895,-6.353938501742151,4.077092993590567,8.112627055909899,1.2427115076118045,3.3047672311464944,7.025054901838303,-1.6544038587146335,-7.137864059872097,0.7241873542467753,4.904979289405876,-10.333127103332016,10.77752325269911,-4.7129828333854675,0.383552349689934,5.33831534617477,-1.721618328243494,3.3606941666868,1.2052128381199307,0.3701513542069329,-2.0941229164600372,-9.949626048405966,3.448999543984731,-0.33138272497389054,-2.8643769952985974,2.990147221419546,0.9692128317223655,-6.795166598425971,13.794206500053406,-0.6623589081896676,1.5409308245612516,-5.469334586833914,3.7491184539265103,2.7674429284201727,-3.6834862464004092,-5.218745589256287"
gil kerlikowske,"0.21855071932077408,-0.748987078666687,-9.369714498519897,2.4966788291931152,1.0571067333221436,9.716105461120605,9.261239051818848,6.212573438882828,3.7773372046649456,-3.9137123227119446,-0.6678653880953789,19.623040199279785,-1.6258616149425507,5.016702175140381,-3.570565164089203,5.666648030281067,15.15660548210144,7.505025744438171,6.839569389820099,10.966203093528748,17.18979775905609,10.075251653790474,5.0755491852760315,-1.3006952404975891,-6.327343642711639,5.820553421974182,-6.530711472034454,-10.478419095277786,11.927479594945908,3.7187348008155823,5.88488207757473,4.18751522898674,5.938106954097748,8.866400957107544,-4.12350195646286,12.712531208992004,13.424163222312927,10.54939877986908,15.480953693389893,-0.5916724801063538,10.27030599117279,0.8980613350868225,-0.5600239038467407,1.5359665155410767,-2.247652232646942,-9.816205620765686,-6.074018985033035,1.4980841875076294,-1.68552964925766,-10.949453949928284,-6.444476127624512,3.295085519552231,-4.200956732034683,10.439855545759201,23.656094551086426,12.793679594993591,-3.1695884093642235,-4.919212073087692,6.6423643827438354,-9.266758799552917,-5.511018678545952,8.2773317694664,6.5426589995622635,3.520606279373169,3.4963070675730705,2.0607566237449646,-3.7044487297534943,3.32076096534729,6.347276210784912,-6.979353368282318,7.101198643445969,-4.957465708255768,-11.36902429908514,-3.783849209547043,13.202732861042023,-6.1905624605715275,8.87546593695879,-3.551930844783783,12.915688872337341,3.747849702835083,-0.7206530198454857,-3.5531322360038757,4.060006633400917,-8.900626182556152,3.1798064708709717,-9.601641654968262,1.5319870710372925,-10.664000391960144,-0.7711273729801178,1.31707364320755,9.587467432022095,-6.668072164058685,21.515807032585144,-10.101764723658562,2.0354305505752563,-6.983160078525543,0.9703389406204224,-6.145491421222687,1.019140973687172,-2.688258707523346"
david trimble,"-1.668012193271092,-1.203308661601373,0.9840977277074542,2.3061356203896657,2.1676666140556335,2.1949166038206647,0.8142414252672877,1.7488571171249663,0.4676184824534825,-6.676914530141013,5.228729086262839,10.046967101948601,5.468159582998071,5.678162292178188,0.6508774906396866,5.052383865628924,0.6182638545121465,-0.9451423649277005,3.857144738946642,2.3322252311876843,9.700914072138923,6.592643571751458,2.2797160744667053,-9.651568644813128,4.009077587297985,-0.02303382328578404,0.7773938775062561,-10.970381545169014,-2.4371389065470015,-2.3197393928255354,9.27834723676954,-3.1000073977879117,3.4071423629564896,5.279265829495022,-1.8985358902386256,-3.088561121906553,12.636850169726781,-1.2388279693467277,1.41936171906335,2.3782691742692674,3.3127151812825884,3.4963073219571794,-2.4290514290332794,-1.640162433896746,8.359940477779933,-3.1718575188091824,-9.94340432541711,5.495227754116058,-8.060146372233119,3.1515576200825826,-8.313267399157796,0.5016901918819973,-2.3959825251783644,5.54877723966326,22.206824915749685,-0.11476658923285347,-2.543160374675478,1.3680240852492196,3.1084814241954257,-7.601268018995013,-1.6002890467643738,11.482642889022827,3.650239392050675,-1.089109012058803,2.860728544848306,-7.463084710495813,5.460706913045475,5.98377227650157,2.563432570014681,5.264809114592416,10.704412341117859,-1.196843879563468,-10.374287613800593,4.830705166927406,4.611857857022967,-9.530144504138402,4.828181105000632,-8.648634646620069,13.551103519541877,6.707454485552652,1.749389954975673,6.950358305658613,7.0235458101545065,2.069058213915144,-6.746318391391209,-12.571838821683611,-8.882852009364537,0.2638584205082485,5.236710224832807,3.7204617261886597,4.138192794152668,-10.665197551250458,19.75286844798497,1.357448786497116,5.864323030625071,2.0644515523953095,4.130929586078439,-0.23418528693062918,1.7903732785156794,-0.2824135848454067"
john f. davis,"11.17067992091179,-6.524529123306275,10.652954840660096,8.368699550628662,0.5462436676025391,3.128977417945862,3.233205223083496,-5.557791543006897,-15.1848934173584,-8.712085139751434,9.624967575073242,13.957782363891601,0.6897697687149048,10.86457164287567,-4.913047647476196,7.554590916633606,-0.6855558425188064,8.27445101737976,-4.110644674301147,0.7416354417800903,4.00351996421814,0.5173855304718018,2.1702320158481596,-3.7792102336883544,14.204792594909668,-2.303069543838501,-3.497344446182251,-10.246673440933227,-7.4215398788452145,-7.987025308609009,13.27523648738861,-4.370693635940552,-5.965448904037475,-2.5505991220474242,2.951457405090332,-10.608531618118286,21.13933410644531,-5.245734441280365,8.63814046382904,4.5775381565094,9.59624080657959,-5.30116857290268,-7.406144762039185,-9.857442474365234,4.926341438293457,7.31117103099823,-12.39643907546997,11.158988118171692,-5.325106000900268,1.3978482246398927,-11.543591976165771,-4.996338653564453,3.5659740447998045,6.483365750312805,30.656040573120116,0.0927839994430542,-5.370099639892578,4.849913311004639,10.143524074554444,-3.0293778449296953,-1.4149362325668335,9.671406841278076,-3.911423960328102,-6.83754255771637,0.7965511023998261,-4.445449697971344,6.789958071708679,-1.347132784128189,2.9894419431686403,3.90596718788147,10.635255420207978,-3.4161876678466796,-18.218360900878906,2.1199596643447878,13.260783481597901,-6.1918943405151365,5.925024604797363,-15.200260734558105,9.579718208312988,10.26864950656891,3.9834152936935423,15.118947958946228,12.27552318572998,4.583803701400757,-11.949704837799072,-16.442996788024903,-6.691862320899963,1.8698038339614869,0.3129712104797363,2.49095299243927,4.525781154632568,-14.362307453155518,18.86857089996338,8.692354440689087,7.820206618309021,7.900190258026123,0.5955724239349365,0.9597702980041504,-9.681570434570313,7.719337218999863"
