"speaker","[0.9846759, -1.1645789, 0.13942888, 0.55875903, 0.5980862, -0.17007059, -0.68518466, 0.7155275, 0.53607655, -0.21417654, 1.0249368, 0.12697259, 1.1706432, 1.4395926, 0.8037171, 0.23573229, -0.011357471, 0.5796871, 0.1047568, -1.0928407, 0.7217165, -0.20250294, -0.069366276, 0.114820726, -0.014634736, 0.24671885, -0.43121892, 0.67400324, 0.29827216, 0.5234279, 0.16772774, 1.1156132, -0.27008104, 1.0455843, -0.32247922, 0.763165, -1.1447685, -0.1933185, 0.2736539, 0.11140135, 1.1505945, 0.45118284, -0.39422512, 0.29481786, -1.1434917, -0.1680557, -0.05247827, -0.16762729, -0.6872309, 0.42835692, 0.17582369, 0.31540045, 0.70247525, -0.88431215, -0.050946698, -0.5059389, 1.0910181, 0.111987874, 0.40512347, 0.78317726, -0.42905515, 1.4246541, 0.44602242, -0.4983383, -0.27106416, 0.53845537, -0.086948074, -0.598369, 0.60825264, 0.25163475, -1.026777, 0.44071788, -0.6904906, -1.5403622, 0.67150337, -0.7438854, -0.75685275, -0.82073784, 0.4668513, 0.9742732, 0.73396707, -1.7216558, -0.49562123, -0.5432494, 0.51490885, 0.0056827283, -0.2847889, 0.0074341465, 0.3443793, 0.02115669, 0.30947804, -0.11270771, 0.60953814, -0.6298414, -0.6478787, -0.19173697, 0.56927264, 0.07828195, 0.031018551, 0.29378635]"
"andy baumgartner","[-5.676815, 7.300112, 0.50111854, -3.857898, -2.809937, -0.9426709, 1.2788446, -7.705755, -0.75786084, 3.2078588, -5.9575124, -1.6855655, -6.9461765, -12.121865, -1.2417186, 0.9661345, -2.3789854, -5.497301, -3.0859253, 6.7450986, -6.8262944, 3.0198781, -1.079739, -4.935362, 1.937906, -4.920951, -0.65583897, -5.856259, -1.4491107, -6.346911, 0.962051, -9.987282, -0.44680426, -8.387302, 1.5965619, -6.5329275, 9.859872, -0.23911385, -0.2523049, -2.570896, -4.359023, 3.055776, 2.1851218, -2.4115572, 11.96105, -4.5749116, 4.599099, -0.033380233, 5.1761065, -2.946052, 0.9899735, -2.5243783, -1.3395821, 4.6534333, -4.638987, -2.6572301, -8.094356, -1.1176376, -2.8612847, -2.3023999, 1.2600776, -6.753697, -4.1306653, 3.6840634, -3.2147596, -6.1071725, 1.0109861, 3.1936765, -7.471998, 2.3005526, 10.139473, -5.038957, 7.1077003, 14.820366, -10.173604, 7.5576043, -0.13257615, 5.313022, -5.7354345, -10.368785, -3.913126, 9.877424, 3.7659907, 3.731577, -3.4606512, 0.19940233, 1.8488119, -0.5367307, -0.12809645, 3.1081715, -5.3093166, -3.7643304, -5.9998727, 5.701415, 0.903068, -1.1301103, -7.229439, 4.1898403, -1.455816, 1.023144]"
"atal behari vajpayee","[-5.89869, 7.1082096, 1.126742, -4.149808, -2.7444627, -0.36938897, 1.4450029, -7.670804, -0.7301915, 3.2072656, -6.1418514, -2.0106037, -7.483019, -12.050909, -1.5123979, 0.6176939, -2.7053697, -5.158903, -2.6960735, 6.5794826, -7.703431, 2.8723345, -1.7933496, -5.3303823, 1.551435, -5.235468, -0.6911141, -5.609939, -1.3845811, -6.566357, 0.7156976, -9.239536, -0.96814716, -8.36571, 1.5812302, -6.7921605, 9.555712, -0.40922332, -0.7376386, -2.275913, -4.881639, 2.2755294, 2.191318, -3.1806285, 11.200608, -4.180065, 4.722944, -0.049630053, 4.6449685, -2.2537322, 0.5071299, -2.321259, -2.3940089, 3.925216, -4.503342, -2.5079944, -7.637636, -0.47595787, -2.6433015, -2.5116358, 1.0166895, -6.658518, -3.2371254, 3.5133774, -4.095722, -5.8598995, 0.48333833, 2.644385, -7.7342906, 2.424526, 9.070759, -4.219527, 6.3698726, 14.551041, -10.085173, 7.487208, 0.014313456, 5.814693, -5.524041, -9.508538, -3.9801683, 9.75386, 2.8666253, 3.9095259, -3.4010792, 0.6233305, 2.231509, -0.37020114, -0.5000086, 3.3420858, -4.931254, -3.7651944, -6.59166, 5.261943, 1.0267045, -1.2993574, -7.1085315, 4.8660583, -1.1745778, 1.1338586]"
"andrew cuomo","[-5.7878985, 7.490711, 1.3180368, -4.1819563, -3.6257563, -0.08157906, 1.4046727, -8.019619, -0.81882286, 3.5753672, -6.545124, -1.6729059, -7.58258, -12.097806, -1.0609617, 1.0015441, -3.1556065, -6.007722, -2.3330636, 6.3225985, -7.8825955, 2.7905655, -1.333749, -5.3924165, 1.2584473, -4.7653756, -1.5857017, -5.550143, -1.3007203, -6.6695113, 0.9779296, -9.437118, -0.6604092, -8.666609, 2.0112216, -6.253323, 9.908421, -0.6745565, -0.6250282, -2.3074062, -4.7631955, 2.4497783, 2.5579672, -2.6824553, 11.800425, -4.3554273, 3.7496738, 0.4075974, 5.599564, -3.0680397, 0.117700875, -2.5726156, -2.0148926, 4.5297856, -4.790114, -2.3625743, -6.9707556, -1.303617, -2.6180766, -2.7910054, 1.3898089, -7.3807263, -3.522926, 4.210619, -4.2621717, -5.4181175, 0.34359294, 2.6171796, -7.6001153, 1.935265, 9.513027, -3.796762, 6.5015464, 14.712836, -9.529115, 8.156494, -0.5109641, 5.0210114, -5.463479, -9.875709, -3.8455687, 9.720808, 3.7724388, 3.3793259, -3.316476, 0.78344077, 2.3052938, 0.04582781, -0.10161537, 2.9109914, -5.1320634, -3.828747, -5.8571324, 5.349531, 0.8564078, -1.257234, -7.5007358, 3.9731286, -1.5496987, 0.77090365]"
"alan keyes","[-6.5374236, 8.440893, 0.6714139, -5.1584888, -3.4043417, -1.2387972, 1.1396754, -9.38197, -0.5633125, 3.8557825, -6.361273, -1.7677125, -8.133697, -13.84266, -1.2832001, 1.120554, -3.3401268, -6.636623, -3.1459408, 7.643808, -8.288931, 3.454376, -1.030624, -5.640114, 2.0924246, -5.260159, -1.0145128, -6.3227644, -1.9558631, -7.7532926, 0.5275382, -10.636284, -0.18125102, -9.176225, 2.221612, -7.0950003, 11.177745, -0.41564608, -0.23149562, -2.6927586, -5.2456636, 3.060371, 2.8855498, -2.3209844, 13.322764, -5.6950374, 4.8893533, -0.14446558, 6.33936, -3.706927, 0.65280664, -3.1819348, -2.2153344, 5.0381923, -5.0876503, -2.893068, -8.556578, -1.3651171, -2.885486, -2.8788354, 1.5992782, -7.9289837, -4.2941384, 4.7276654, -4.1426597, -7.06462, 0.99745697, 3.481538, -8.646421, 2.161921, 11.49364, -5.23246, 7.8671107, 16.813135, -11.287572, 8.714385, -0.7108729, 5.777813, -6.4320936, -11.580988, -3.7564883, 10.980899, 4.4602494, 3.658217, -3.8600657, 0.4401455, 2.6775992, -0.7322917, 0.1617212, 3.4122176, -5.932529, -3.9310746, -6.4424257, 6.4870243, 1.026357, -1.3235391, -8.279789, 4.5651855, -1.8911545, 1.4280261]"
"andrey kozyrev","[-5.3486996, 6.580477, 0.834964, -3.9010413, -3.4529524, -0.8120296, 1.0396618, -7.954898, -0.14179218, 3.0722935, -6.0924716, -1.6553189, -6.9610023, -11.468445, -1.0638946, 1.1521913, -3.1216607, -5.5302944, -2.3015065, 6.078825, -7.128303, 3.042124, -1.5823805, -5.0008187, 1.1904502, -5.2579885, -1.0194162, -5.296883, -1.2608814, -6.1276503, 1.168101, -9.466536, -0.7592835, -8.017317, 2.1767538, -6.180922, 9.205347, -0.4169057, -0.63208336, -2.189531, -4.0255356, 2.800801, 2.3300197, -2.4911952, 10.887247, -4.4707227, 4.2504306, 0.09125298, 5.145168, -3.2384071, 0.46174634, -2.611459, -1.6855907, 4.484707, -4.52684, -2.8484585, -7.1574354, -1.2031109, -2.9522862, -2.192118, 1.4703512, -7.0720916, -3.531036, 4.229046, -3.7128515, -5.8921647, 0.4232572, 2.729645, -7.1215034, 2.1118932, 9.74494, -4.177324, 6.376733, 14.41576, -9.333393, 7.64454, -0.2860898, 4.593783, -5.750326, -9.818824, -3.864315, 9.489467, 3.244586, 3.8231657, -3.6560524, 0.58067316, 1.8166394, 0.004948698, -0.260082, 3.0637898, -5.116542, -3.9600823, -5.955352, 4.51845, 0.62633413, -1.0742061, -6.769986, 4.0094256, -1.6155472, 0.97631353]"
"aleksander kwaśniewski","[-6.1179795, 7.925857, 1.2161589, -4.479377, -1.8150772, -0.2092016, 1.9647603, -8.753046, -1.1776342, 3.8521743, -6.1146345, -1.9238763, -8.063764, -13.140006, -1.0996006, 0.14805204, -3.0770018, -6.2325344, -3.1488624, 7.289856, -7.6319456, 3.0248463, -1.89367, -5.284628, 1.9226645, -5.3089333, -0.83867824, -6.102307, -1.8436277, -6.4311056, 0.62980384, -9.871405, -0.672722, -9.290477, 1.5579121, -7.125474, 9.346775, 0.0864145, 0.006072315, -3.106595, -5.296086, 2.2712467, 1.453736, -3.1839008, 12.206119, -5.029913, 4.1463437, 0.2595789, 5.567076, -3.098438, 0.7047986, -2.6617424, -2.1972418, 4.0044327, -5.042399, -2.2735524, -7.661652, -1.456178, -2.427857, -2.4049532, 1.8225567, -7.572746, -3.4223492, 4.13697, -4.7127056, -6.552407, 0.36228475, 2.9399648, -8.150772, 1.9432296, 9.619561, -5.0713944, 7.276142, 15.88833, -10.988648, 7.972077, -0.6261544, 5.957003, -5.8424845, -10.36564, -4.039114, 11.006791, 3.492159, 3.574996, -2.985839, 0.7156592, 2.5252473, -0.51836085, -0.082827955, 3.1684802, -5.7403774, -3.782068, -7.0829153, 6.0839305, 1.0342073, -1.1751505, -7.445408, 4.285913, -1.2476072, 1.4074718]"
"al from","[-5.653106, 7.9229584, 0.5891281, -4.2025547, -2.079714, -0.7442195, 1.2417902, -8.183819, -0.9239733, 3.051996, -5.4489255, -1.8344893, -8.146928, -12.382777, -0.98138434, 0.53851694, -2.0733857, -5.199771, -2.3114145, 6.9859853, -7.09108, 2.256147, -0.6357323, -4.7201877, 2.2868316, -4.8919263, -0.103769474, -6.0391655, -1.2375191, -6.466654, 0.51328737, -10.009668, -0.4958852, -8.240843, 1.3921725, -6.404544, 9.24357, 0.0059038466, -0.16145334, -3.2198572, -4.273196, 2.68196, 1.8330956, -2.8127384, 12.135545, -4.5430403, 4.304255, 0.18998094, 4.7885075, -2.867677, 0.87935317, -2.4709034, -1.5333531, 4.25923, -5.1178093, -2.1756585, -7.8362803, -0.857059, -2.4032407, -2.0136466, 1.1341171, -7.0533195, -4.1609864, 3.454068, -3.6886346, -5.9692745, 0.052686185, 2.9461489, -7.273088, 2.539354, 9.566228, -5.0166693, 6.7042403, 15.410486, -10.311879, 7.7569823, -0.4142345, 5.293994, -5.343127, -9.518426, -4.002401, 9.94605, 3.8796773, 3.4458432, -2.880254, 0.5937817, 1.7286819, -0.76810604, -0.34938282, 3.3394055, -5.7066817, -3.2905662, -6.200017, 5.5012345, 1.1623362, -0.79908174, -7.436461, 4.157004, -1.649461, 0.9827985]"
"al gore","[-6.4342732, 8.62628, 1.5403748, -5.0429144, -3.69123, -0.7042164, 0.972735, -9.770545, -1.2228856, 4.074734, -6.8038654, -2.1274006, -8.779201, -13.710315, -1.3811895, 0.73290616, -3.3092098, -6.853696, -3.170869, 7.597869, -8.720914, 2.8165119, -0.9709436, -5.8516417, 2.0020695, -5.2600613, -1.1428881, -6.522481, -1.7622344, -7.815245, 1.0238907, -11.187692, -0.5730005, -10.220436, 2.201882, -7.3516383, 11.264332, -0.3036037, -0.18558612, -3.0245686, -5.4065933, 2.9559643, 2.6303844, -2.527007, 13.827369, -5.2176685, 5.108044, 0.26767427, 6.25863, -3.6582775, 0.34621248, -3.1585052, -2.1225424, 5.0801735, -5.622498, -2.9008343, -8.128948, -1.576576, -3.0780632, -2.8469317, 1.4314458, -8.057108, -4.2318745, 5.0295925, -4.531751, -6.6286798, 0.4165893, 2.8725502, -8.66145, 2.4966004, 11.260107, -5.4219236, 8.071878, 17.193804, -11.588727, 9.021625, -1.08095, 5.86886, -6.464866, -11.313353, -3.998791, 11.638139, 4.687161, 4.0719566, -4.261291, 0.8188627, 2.413774, -0.69290215, 0.09579645, 3.523321, -6.6506667, -4.162662, -6.442653, 6.3330293, 0.59215397, -1.491104, -8.667827, 4.536324, -2.0843215, 1.3775258]"
"ann mclaughlin","[-5.6916113, 7.677534, 1.0958127, -4.4332457, -2.2667491, -1.1904751, 1.1148779, -8.472439, -0.8034391, 3.6609821, -6.127575, -2.0451307, -7.2435913, -12.812228, -1.4750307, 0.7550208, -2.8557985, -5.8978662, -2.6722517, 6.972337, -7.5032163, 2.7286868, -1.3709416, -5.4046316, 2.0535955, -5.722264, -0.71744037, -5.745979, -1.992576, -6.659591, 1.0316296, -10.169051, -0.76181495, -8.330467, 1.8788124, -6.220023, 9.133648, -0.2527451, -0.014634631, -2.5636935, -4.6906137, 2.809391, 2.3217807, -2.717205, 11.830546, -4.81867, 4.3835936, 0.20908165, 5.182411, -2.8849843, 0.3955508, -2.7930088, -1.8771687, 4.2873383, -4.6494513, -2.2870033, -7.559601, -0.98094755, -2.5262606, -1.8158077, 1.3522003, -7.5477967, -4.2984905, 4.0042987, -3.848736, -6.1311016, 0.23260865, 2.855457, -7.757638, 2.2621844, 10.153923, -4.6041193, 7.2226863, 15.235935, -10.496413, 7.82354, -0.32792735, 5.8356586, -5.9955997, -10.592404, -4.0142894, 10.303934, 3.2888005, 4.132966, -3.4043832, 0.5139189, 2.1407688, -0.24605356, -0.22805603, 3.1410043, -5.7737637, -3.7659128, -6.419208, 5.035137, 1.558677, -0.80248207, -7.1010995, 4.5413995, -1.4394695, 1.1969503]"
