"andy baumgartner","[7.091956, 2.4871857, 4.449759, 4.644859, -3.0317662, -2.8417044, 1.0302082, 7.394004, 4.6102343, 3.3931828, 6.8649755, -6.5608797, -0.89482725, 0.7306624, -4.334394, -3.3666415, 6.0251126, 0.40803456, -5.025531, -9.496408, 8.968176, 7.554237, -4.0506215, -6.1663876, 3.7937632, 4.6699376, 7.8204513, -2.2717662, 6.270199, 6.817969, -9.722957, -3.231862, -1.3121942, -3.1615705, 3.9265997, 2.3414133, 3.6328287, 1.6153843, -3.4107938, 1.6871051, 4.554744, -7.196413, 8.183248, -1.7497374, 3.9355743, -2.1058545, 0.801262, -2.7250822, 7.4070945, 8.506109, 8.181797, -3.4683485, -1.0579545, -3.6912346, -3.392676, 0.6100554, -1.1676164, 9.356964, -4.438012, 0.30953982, 0.50425524, 3.4048429, 6.9699807, -1.490135, 2.2365797, -4.749594, 10.905243, 2.9172812, -12.558001, -2.75125, -0.06451733, -2.6479874, -3.1290388, 0.3152563, 5.630498, -1.5817544, 0.528982, -8.299717, 1.8043326, -4.9780693, 9.295742, 0.041121002, 0.6538024, -2.0478318, 4.158501, -1.4307882, 6.6793694, 3.503274, -6.1601086, 7.6642494, 0.13347784, -5.9055557, 8.869603, -2.694028, 6.738757, 6.330574, 2.565552, -2.8096507, -4.6448407, -0.013646303]"
"atal behari vajpayee","[6.645096, 2.2179434, 4.6117787, 4.4277544, -3.7657495, -2.548461, 0.8580354, 7.4873214, 4.8578205, 3.158049, 5.866278, -6.870639, -0.72361374, 0.8281838, -5.2117357, -3.5305245, 5.6288934, 0.3749312, -4.4833646, -9.810402, 9.650244, 6.633693, -3.982029, -5.452303, 4.1241894, 5.011972, 7.8745165, -2.0998888, 6.0869994, 6.917579, -9.166361, -2.533784, -0.9748374, -2.9748554, 4.175843, 2.14169, 3.0220919, 1.6820607, -3.2363212, 2.7450616, 5.3770847, -6.6492896, 8.312276, -1.3698635, 3.5346315, -1.5371332, 1.0336722, -2.7265086, 6.633453, 7.201946, 8.293588, -3.3746707, -0.17242292, -3.4735641, -2.8958704, -0.05562893, -0.7195023, 8.692097, -4.451315, 0.5731825, 0.98422647, 3.9966283, 6.893468, -1.3003143, 2.27005, -4.0874457, 9.872408, 2.5423112, -11.740371, -2.5224879, -0.40961468, -2.886092, -3.5420458, 0.8364403, 5.5615616, -1.6318699, 1.3949687, -9.171441, 1.2737585, -5.1807137, 8.318523, 0.7487408, 0.8608668, -1.3871531, 3.7656152, -1.4210184, 5.73083, 3.2279172, -5.990848, 7.685411, 0.27846393, -5.5105777, 9.559052, -2.5212073, 6.5044894, 5.8172774, 2.6028647, -2.7619314, -4.828505, -0.37468562]"
"andrew cuomo","[6.6658216, 2.6986167, 3.7374277, 5.037352, -3.8254018, -3.257619, 0.42744705, 6.883712, 5.23189, 3.8361397, 7.8428683, -7.370797, -1.0074048, 0.43220267, -4.976717, -3.2555616, 5.336412, -0.3291219, -4.8233094, -9.56757, 10.590262, 7.982989, -4.4484396, -5.5214424, 3.7993033, 5.0952697, 7.657339, -2.2464638, 6.769389, 7.0803084, -8.844247, -2.9460392, -1.6236758, -3.2125628, 3.445883, 2.6516633, 2.443443, 1.1961969, -4.13145, 1.4405707, 4.1213017, -7.1161184, 9.313165, -2.0705822, 3.3276486, -1.993439, 0.20117445, -2.533055, 7.7573147, 7.673636, 8.474593, -3.6069446, -0.7023403, -4.115819, -2.7737503, 0.44619697, -0.7797441, 9.42087, -3.0629563, 0.49257156, 0.87730557, 3.271066, 6.744329, -1.6968976, 1.9699734, -4.025139, 10.696482, 2.3959284, -12.176952, -3.5274725, -0.47948378, -3.0013273, -3.1206896, 0.48752815, 5.46083, -1.7722919, 0.68060404, -8.9750805, 0.94616306, -5.600168, 8.297112, 0.61913556, 1.0802804, -1.4405724, 4.1081815, -2.3827362, 5.901601, 3.0353973, -6.0012164, 7.7225666, 0.32237697, -5.1736546, 9.714299, -1.9282317, 5.8748083, 6.2781987, 2.8911808, -2.6709578, -4.3873434, 0.45665058]"
"alan keyes","[7.961455, 2.7652786, 5.537701, 5.5210094, -3.6725316, -3.7030458, 0.7415116, 8.666793, 5.83264, 3.6747735, 7.9986205, -8.456244, -1.1083822, 1.1006466, -5.37023, -3.0535648, 6.897434, 0.30279434, -5.9672365, -11.145248, 11.323007, 8.294999, -4.4053955, -5.953901, 4.5208945, 5.8367667, 8.431217, -2.3400214, 6.8910346, 7.5564904, -11.048808, -3.4467392, -1.1053947, -3.6353924, 5.263874, 2.15826, 3.8096826, 1.5919467, -4.178245, 2.5604188, 5.1219683, -8.054584, 9.180372, -1.7340082, 4.2701864, -1.6558201, 0.63710696, -3.87126, 9.069841, 9.2960825, 9.868369, -4.4556084, 0.14439213, -4.424194, -3.1453297, -0.3749862, -0.9992541, 9.7809925, -5.039247, 0.8172043, 1.1356115, 4.1098175, 8.064321, -2.10861, 2.3767014, -4.474819, 11.492635, 3.26952, -13.332731, -3.0475736, -0.038401756, -3.3988478, -3.3012166, 0.8840634, 6.583266, -2.5231683, 1.0050106, -9.791142, 2.207328, -5.901334, 10.059822, 0.617036, 0.93917686, -1.6238704, 4.576823, -1.7036053, 7.5657454, 3.5146608, -6.820103, 8.395768, -0.10647174, -6.623937, 11.172481, -3.4342997, 7.7007785, 7.4665084, 3.4085305, -3.0030918, -4.8630276, 0.1599836]"
"andrey kozyrev","[6.5247664, 1.8425883, 3.5620422, 4.7019277, -3.4803872, -2.82522, 0.48167387, 7.018567, 5.047819, 3.774053, 6.876354, -7.5091944, -0.84790045, 0.24551712, -5.005548, -2.5387416, 5.7596517, -0.18432713, -5.096427, -9.124947, 9.821219, 6.9451065, -4.13756, -4.6446676, 3.5836542, 4.9462323, 7.1574883, -2.1130562, 5.6611314, 6.8816, -8.900595, -2.2748566, -1.6282448, -2.7240183, 3.710244, 1.7556942, 2.8408267, 1.3791329, -4.062707, 1.9794141, 4.308659, -7.078131, 8.461401, -2.1867485, 3.9847648, -1.6109382, 0.3531097, -3.8058674, 7.482984, 7.8665543, 8.56745, -3.5465508, 0.34060043, -3.426523, -2.0526395, 0.3740561, -1.6838999, 9.191963, -3.3435931, 0.78830063, 1.4966756, 3.8174617, 6.098044, -1.7796261, 2.1102078, -4.361806, 10.002532, 2.746961, -11.445463, -2.532392, -0.13753045, -2.7146566, -2.821433, 0.2224336, 5.6381097, -1.5016075, 0.54803973, -8.165372, 1.3171927, -4.561544, 8.818538, 0.79002476, 0.82731473, -1.7395127, 4.1088843, -1.6913575, 6.0859003, 3.329656, -6.4899464, 7.014958, 0.09544759, -5.224789, 9.939433, -2.1625316, 5.9006586, 6.384077, 2.4383094, -3.0635498, -3.915863, 0.108252876]"
"aleksander kwaśniewski","[7.563991, 2.8089912, 4.854485, 5.4128895, -3.8561924, -3.5234025, 0.5749561, 7.7463336, 5.4935083, 3.5064912, 7.5510626, -7.831212, -1.5046258, 0.80237573, -5.069963, -3.1282873, 6.614348, 0.37932098, -5.483813, -10.40602, 10.981178, 7.9487424, -4.607656, -5.844175, 4.4623203, 5.40216, 8.29753, -2.029486, 6.8234715, 7.5377197, -10.057675, -2.856566, -1.6385492, -3.6922088, 4.4414845, 2.2828057, 3.3898606, 1.2302564, -3.8828282, 2.506052, 5.0199943, -7.321567, 9.348745, -1.7524831, 4.179649, -1.9310284, 0.75335246, -3.4865644, 8.292998, 8.563816, 9.267261, -3.954671, -0.4073075, -3.859759, -3.1139526, 0.18405007, -1.2289498, 9.548407, -4.508942, 0.5056355, 0.8581589, 3.8993564, 7.231369, -1.8585156, 2.2925928, -4.513208, 11.086158, 2.9623163, -13.064977, -2.8026414, -0.41176936, -3.4465363, -3.4662817, 0.5947191, 5.997669, -2.1337004, 0.8441974, -9.664975, 1.7553151, -6.2761903, 9.749605, 0.58216465, 1.0389783, -2.0061238, 4.2193446, -1.7284923, 6.721701, 3.144627, -6.5888877, 8.016996, -0.13115709, -5.9603868, 10.432742, -2.8135965, 7.1887493, 7.1331735, 2.9274123, -3.0012841, -4.967673, 0.29950225]"
"al from","[7.009832, 2.7004652, 4.1821394, 4.9790297, -3.5622773, -3.2055173, 0.4172884, 7.64154, 5.2361197, 3.43533, 6.9604797, -6.899301, -0.6797828, 0.73630875, -4.6037364, -2.5348988, 5.611131, 0.48567694, -4.908851, -9.778599, 9.744762, 7.620404, -4.0327053, -6.0391383, 4.034854, 4.991373, 7.7519894, -2.561633, 6.664429, 7.161182, -10.162921, -3.0648887, -1.4141371, -2.8798242, 4.443857, 2.5446055, 3.4757128, 1.2217174, -3.5024614, 2.3932803, 4.5830426, -7.1280885, 8.170354, -1.6607294, 3.8775647, -1.9080129, -0.00538069, -2.7013252, 7.9329686, 8.782542, 8.146774, -3.6053307, -1.0316496, -3.782768, -2.975105, 0.6457589, -1.5791681, 9.526185, -4.6388307, 0.018252531, 0.81374633, 3.269972, 6.456792, -1.1286355, 2.2011452, -4.0672603, 10.715424, 2.3276556, -11.987439, -3.026878, 0.08208317, -2.8499334, -3.1400514, 0.27471006, 6.1211166, -2.3145604, 0.8677925, -8.302003, 1.6565759, -5.1636505, 8.467868, -0.42390797, 1.2092634, -1.839417, 4.645453, -1.408761, 6.7843986, 3.8355865, -6.617849, 8.552001, 0.362113, -6.0120735, 9.280657, -2.7865756, 6.6422105, 6.591243, 2.849523, -2.8388357, -4.7953153, 0.46572036]"
"al gore","[8.059854, 2.9354837, 5.2058287, 6.187969, -3.8614774, -3.5661368, 0.37994012, 9.035974, 6.0711546, 4.072624, 8.75581, -8.97606, -1.5037293, 0.8098663, -5.7147408, -2.907764, 6.9332595, -0.08570731, -6.29968, -11.287275, 12.116323, 8.84524, -4.5485945, -6.1312876, 5.0097246, 6.095744, 8.788978, -2.8972456, 7.049458, 7.625982, -11.3557825, -3.4088593, -1.4223421, -3.4048514, 5.289259, 2.543581, 3.9221563, 1.2996594, -4.40583, 2.481849, 5.3705273, -7.578196, 9.699494, -1.7023116, 4.017386, -2.3804202, 0.48047766, -3.9764593, 9.243739, 9.892796, 10.5257435, -4.1126847, 0.21250893, -4.4141755, -3.078915, -0.35293677, -1.5047915, 10.811599, -4.72083, 0.8765529, 0.78626233, 3.7144506, 7.4429297, -1.8726636, 2.2595956, -4.359774, 12.157486, 3.4882574, -13.78416, -3.6657267, -0.28763098, -3.8104439, -3.0651782, 0.29870808, 6.8947763, -2.5973403, 0.85947853, -10.24836, 2.1101003, -6.246633, 10.830204, 0.8429781, 0.96439034, -2.0057747, 5.258113, -2.2860718, 7.7515354, 3.6019456, -7.409146, 9.118343, -0.4259594, -6.882963, 11.218471, -3.196215, 7.94129, 8.031588, 3.6247144, -3.3665714, -4.587057, 0.42562404]"
"ann mclaughlin","[7.345088, 2.5875902, 4.6943984, 5.5898786, -3.6561859, -3.4370043, 0.4732029, 7.851828, 5.1597543, 3.3091536, 7.5232344, -7.3872476, -1.7358278, 0.5679229, -4.7050476, -3.393888, 6.499053, 0.67639816, -5.342135, -10.344675, 10.635156, 7.9002843, -4.551918, -6.1424627, 3.9352946, 5.6414456, 8.481431, -2.358804, 6.9044642, 7.147338, -9.940772, -2.4848826, -1.4698035, -3.178788, 3.8588881, 2.8300178, 3.0871286, 1.3063262, -3.7702534, 2.371458, 4.5251026, -7.119161, 8.902346, -1.9328275, 3.79457, -2.2512817, 0.82578653, -2.6658852, 7.5991273, 7.8503675, 9.1646385, -3.3715718, -0.2941565, -3.6646497, -2.446419, -0.22783265, -1.3138528, 9.101657, -4.4535847, 0.4944107, 0.6009876, 3.9061706, 7.107116, -1.7391363, 2.324396, -4.4593925, 10.816701, 2.9449773, -12.667925, -2.6937666, -0.25691542, -2.808094, -3.6051896, 0.48672593, 5.5850253, -1.838505, 0.46968544, -9.447666, 1.4362129, -5.325316, 9.614433, 0.09599451, 0.9611687, -1.9869535, 4.3167944, -1.7979647, 6.622855, 2.8180695, -6.349285, 7.8380504, -0.17813265, -5.570851, 9.709699, -3.016073, 6.812709, 6.536414, 2.7642143, -2.6360116, -4.7455, 0.31024432]"
"angela merkel","[7.4068065, 2.5596714, 4.2450833, 5.0480785, -3.8440921, -4.012663, 0.37164235, 7.652306, 5.318671, 4.156084, 7.546211, -7.9913383, -0.54021734, 0.9665098, -5.348226, -3.2919676, 5.829771, 0.75596166, -4.983464, -10.4484005, 11.048723, 7.8829236, -4.5532722, -5.410201, 3.9231777, 5.6422076, 7.130661, -2.8438993, 7.2926416, 7.6799526, -10.009415, -3.0678556, -1.2918254, -3.0656488, 4.1208925, 2.3331928, 3.3810084, 0.8780901, -3.6717935, 2.7326412, 4.894093, -7.1634164, 8.743234, -1.5726037, 3.5055153, -1.1033152, 0.16434981, -2.5534835, 7.8203406, 8.101465, 8.643952, -3.3268442, 0.6082472, -4.001404, -1.7325655, -0.09476091, -1.1579942, 9.374705, -4.353193, 0.34109497, 1.5750825, 3.4692855, 6.736237, -1.470328, 1.8855202, -3.5405762, 10.608409, 3.1331725, -12.180585, -2.9318192, 0.11117907, -2.703652, -3.652547, 0.34908998, 5.688288, -1.6152594, 0.5768709, -8.590851, 1.1628214, -4.877329, 8.473802, 0.27540442, 1.6000752, -1.810678, 4.110835, -1.9732835, 6.692118, 3.6322782, -7.020197, 8.008642, 0.58750784, -5.505705, 10.273664, -1.7423075, 6.169996, 6.313097, 2.8530045, -3.0598617, -4.4286084, 0.60182565]"
